Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
"['x3', 'x9', 'x10']",3,97.78629827067638,0.5144185906530439,0.5010539647077148,12.10898072520068,-8.340178659412771,2.569372615436592
"['x3', 'x9', 'x7_2']",3,99.13204860430957,0.5077359433375154,0.4941873913192819,13.720652837444263,-6.795658734107834,4.11389254074153
"['x3', 'x9', 'x7_3']",3,97.76752250748805,0.5145118262260485,0.5011497663974076,12.08649485010153,-8.361877660110977,2.547673614738386
"['x3', 'x9', 'x7_4']",3,97.77082316045012,0.5144954360390235,0.5011329251043177,12.090447715798987,-8.358062819768783,2.5514884550805803
"['x3', 'x9', 'x6_2']",3,98.77053020047539,0.5095311500192602,0.4960320073592398,13.287697990649349,-7.208504542594275,3.7010467322550884
"['x3', 'x10', 'x7_2']",3,110.67467962509092,0.45041822973382284,0.435292125965029,27.544120722373293,5.650420963718871,16.559972238568236
"['x3', 'x10', 'x7_3']",3,109.73280949068338,0.4550953126726016,0.44009793595716873,26.41613599070203,4.6846464024571794,15.594197677306543
"['x3', 'x10', 'x7_4']",3,109.52516690868369,0.4561264119103473,0.44115741407301734,26.16746300109952,4.470618897818411,15.380170172667775
"['x3', 'x10', 'x6_2']",3,110.73860564533227,0.45010078968802525,0.43496594903723695,27.620678596070093,5.715671253277305,16.62522252812667
"['x3', 'x7_2', 'x7_3']",3,118.81059878718463,0.4100173641429632,0.39377930994506305,37.287706656039234,13.66613635673125,24.575687631580614
"['x3', 'x7_2', 'x7_4']",3,119.06973696093102,0.408730551145144,0.3924570800757443,37.59805082420098,13.912332622804367,24.82188389765373
"['x3', 'x7_2', 'x6_2']",3,117.68082917700345,0.4156275071716995,0.39954386058009494,35.93469330097389,12.58647830540544,23.496029580254802
"['x3', 'x7_3', 'x7_4']",3,118.57603736563189,0.41118213536009895,0.39497613908560625,37.00679563392998,13.442825982641766,24.352377257491128
"['x3', 'x7_3', 'x6_2']",3,116.43632636608038,0.42180738553452957,0.4058938273382322,34.44427533573477,11.385112759074246,22.29466403392361
"['x3', 'x7_4', 'x6_2']",3,117.0478033042528,0.41877094956474814,0.4027738197362549,35.176580804217906,11.9769906917169,22.886541966566263
"['x4', 'x5', 'x9']",3,114.18112340431006,0.4330061388558578,0.4174008032280375,31.743441733768123,9.174993285038337,20.0845445598877
"['x4', 'x5', 'x10']",3,128.73734088290388,0.3607237360771567,0.34312897651964713,49.17598414798138,22.733662381640087,33.64321365648945
"['x4', 'x5', 'x7_2']",3,133.6122539076131,0.33651618165467256,0.3182551591314067,55.01418546599669,26.933619972590215,37.84317124743958
